code,name,cate_code,cate_name
1270,부국증권,116601,금융 지원 서비스업
26940,부국철강,32401,1차 철강 제조업
14470,부방,116409,기타 금융업
15350,부산도시가스,43502,연료용 가스 제조 및 배관공급업
11390,부산산업,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
5030,부산주공,33003,자동차 신품 부품 제조업
8470,부스타,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
100120,뷰웍스,32701,의료용 기기 제조업
66980,브레인콘텐츠,106309,기타 정보 서비스업
64480,브리지텍,105802,소프트웨어 개발 및 공급업
251630,브이원텍,32902,특수 목적용 기계 제조업
33560,블루콤,32605,영상 및 음향기기 제조업
126340,비나텍,32602,전자부품 제조업
121800,비덴트,32604,통신 및 방송 장비 제조업
148140,비디아이,32901,일반 목적용 기계 제조업
100220,비상교육,105801,"서적, 잡지 및 기타 인쇄물 출판업"
200780,비씨월드제약,32102,의약품 제조업
141000,비아트론,32902,특수 목적용 기계 제조업
90460,비에이치,32602,전자부품 제조업
83650,비에이치아이,32901,일반 목적용 기계 제조업
215050,비엔디생활건강,32004,기타 화학제품 제조업
86670,비엠티,32901,일반 목적용 기계 제조업
138580,비즈니스온,105802,소프트웨어 개발 및 공급업
82920,비츠로셀,32802,일차전지 및 축전지 제조업
54220,비츠로시스,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
42370,비츠로테크,116409,기타 금융업
32850,비트컴퓨터,105802,소프트웨어 개발 및 공급업
148780,비플라이소프트,105802,소프트웨어 개발 및 공급업
93190,빅솔론,32603,컴퓨터 및 주변장치 제조업
65450,빅텍,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
210120,빅텐츠,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
5180,빙그레,31005,낙농제품 및 식용빙과류 제조업
72950,빛샘전자,32602,전자부품 제조업
266170,뿌리깊은나무들,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
143240,사람인에이치알,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
3960,사조대림,31002,수산물 가공 및 저장 처리업
8040,사조동아원,31006,"곡물가공품, 전분 및 전분제품 제조업"
7160,사조산업,10301,어로 어업
14710,사조씨푸드,31002,수산물 가공 및 저장 처리업
6090,사조오양,31002,수산물 가공 및 저장 처리업
79660,사조해표,31007,기타 식품 제조업
100090,삼강엠앤티,32401,1차 철강 제조업
5090,삼광글라스,32301,유리 및 유리제품 제조업
122350,삼기오토모티브,33003,자동차 신품 부품 제조업
14970,삼륭물산,31702,"골판지, 종이 상자 및 종이용기 제조업"
18310,삼목에스폼,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
53700,삼보모터스,33003,자동차 신품 부품 제조업
9620,삼보산업,32402,1차 비철금속 제조업
23600,삼보판지,31701,"펄프, 종이 및 판지 제조업"
111870,삼본정밀전자,32605,영상 및 음향기기 제조업
1470,삼부토건,64102,토목 건설업
6400,삼성SDI,32802,일차전지 및 축전지 제조업
6660,삼성공조,33003,자동차 신품 부품 제조업
28260,삼성물산,74607,기타 전문 도매업
207940,삼성바이오로직스,32101,기초 의약물질 및 생물학적 제제 제조업
32830,삼성생명,116501,보험업
18260,삼성에스디에스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
28050,삼성엔지니어링,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업"
9150,삼성전기,32602,전자부품 제조업
5930,삼성전자,32604,통신 및 방송 장비 제조업
1360,삼성제약,32102,의약품 제조업
10140,삼성중공업,33101,선박 및 보트 건조업
16360,삼성증권,116601,금융 지원 서비스업
68290,삼성출판사,105801,"서적, 잡지 및 기타 인쇄물 출판업"
29780,삼성카드,116409,기타 금융업
810,삼성화재해상보험,116501,보험업
6110,삼아알미늄,32402,1차 비철금속 제조업
9300,삼아제약,32102,의약품 제조업
145990,삼양사,31007,기타 식품 제조업
3230,삼양식품,31007,기타 식품 제조업
225190,삼양옵틱스,32703,사진장비 및 광학기기 제조업
2170,삼양통상,31501,"가죽, 가방 및 유사제품 제조업"
272550,삼양패키징,32202,플라스틱제품 제조업
70,삼양홀딩스,116409,기타 금융업
2810,삼영무역,74607,기타 전문 도매업
54540,삼영엠텍,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
65570,삼영이엔씨,32604,통신 및 방송 장비 제조업
5680,삼영전자공업,32602,전자부품 제조업
3720,삼영화학공업,32202,플라스틱제품 제조업
82660,삼우엠스,32604,통신 및 방송 장비 제조업
23000,삼원강재,33003,자동차 신품 부품 제조업
73640,삼원테크,32509,기타 금속 가공제품 제조업
4380,삼익THK,32901,일반 목적용 기계 제조업
2450,삼익악기,33302,악기 제조업
32280,삼일,84903,도로 화물 운송업
2290,삼일기업공사,64101,건물 건설업
520,삼일제약,32102,의약품 제조업
9770,삼정펄프,31701,"펄프, 종이 및 판지 제조업"
37460,삼지전자,32604,통신 및 방송 장비 제조업
32750,삼진,32604,통신 및 방송 장비 제조업
54090,삼진엘앤디,33309,그외 기타 제품 제조업
5500,삼진제약,32102,의약품 제조업
250,삼천당제약,32102,의약품 제조업
4690,삼천리,43502,연료용 가스 제조 및 배관공급업
24950,삼천리자전거,74604,생활용품 도매업
38500,삼표시멘트,32309,기타 비금속 광물제품 제조업
17480,삼현철강,32401,1차 철강 제조업
1880,삼호,64101,건물 건설업
10960,삼호개발,64201,기반조성 및 시설물 축조관련 전문공사업
46390,삼화네트웍스,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
4450,삼화왕관,32509,기타 금속 가공제품 제조업
9470,삼화전기,32602,전자부품 제조업
11230,삼화전자공업,32605,영상 및 음향기기 제조업
1820,삼화콘덴서공업,32602,전자부품 제조업
390,삼화페인트공업,32004,기타 화학제품 제조업
27580,상보,32602,전자부품 제조업
38540,상상인,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
41650,상신브레이크,33003,자동차 신품 부품 제조업
